student_id,learning_capacity,late_work_prob,ses_score,grit,ses_quartile,gpa_proxy,final_knowledge,final_stress,final_motivation,final_fatigue,final_satisfaction,attendance_rate,completion_rate,is_intervention_target,dropped_out,dropout_week,at_risk,study_group_id
0,1.2192,0.1632,0.2953,0.4762,1,1.95,0.2679,0.2212,0.8114,0.0,1.0,1.0,1.0,False,False,-1,True,4
1,0.9511,0.2164,0.5359,0.3447,2,1.6052,0.1447,0.1973,0.6539,0.0,1.0,0.9286,1.0,False,False,-1,True,3
2,1.2869,0.2421,0.544,0.2488,2,1.5789,0.1506,0.1963,0.6463,0.0,1.0,1.0,0.9643,False,False,-1,True,4
3,1.1579,0.0765,0.7718,0.4271,3,1.6674,0.1669,0.1745,0.6245,0.0,1.0,0.9286,1.0,False,False,-1,True,4
4,0.6753,0.2491,0.667,0.4919,2,1.3236,0.0441,0.2103,0.7277,0.0,1.0,0.7857,1.0,False,False,-1,True,1
5,1.3805,0.1392,0.5714,0.7652,2,1.3834,0.0655,0.195,0.7647,0.0,1.0,1.0,1.0,False,False,-1,True,2
6,1.2089,0.2377,0.7927,0.5195,3,1.4152,0.0769,0.1728,0.675,0.0,1.0,0.9286,1.0,False,False,-1,True,4
7,1.2289,0.0963,0.2622,0.6474,1,1.3504,0.0843,0.2616,0.6226,0.0,1.0,0.7143,0.9286,False,False,-1,True,5
8,0.7025,0.1263,0.372,0.4251,1,1.5092,0.164,0.2136,0.6237,0.0,1.0,0.9286,0.8929,False,False,-1,True,2
9,0.9603,0.1402,0.3147,0.3223,1,1.5454,0.1234,0.219,0.7302,0.0,1.0,1.0,1.0,False,False,-1,True,1
10,0.8966,0.2344,0.422,0.3552,1,1.5943,0.1408,0.2085,0.7368,0.0,1.0,0.9286,1.0,False,False,-1,True,5
11,1.3414,0.1886,0.2247,0.3912,0,2.0669,0.3249,0.228,0.7224,0.0,1.0,1.0,0.9643,False,False,-1,False,0
12,1.1151,0.1471,0.627,0.8193,2,1.5718,0.1481,0.1899,0.6352,0.0,1.0,0.8571,0.9643,False,False,-1,True,6
13,1.2582,0.0769,0.4556,0.3768,1,1.8513,0.2326,0.2053,0.7,0.0,1.0,0.8571,1.0,False,False,-1,True,5
14,0.9547,0.13,0.2058,0.6258,0,1.4815,0.1159,0.2301,0.6916,0.0,1.0,1.0,0.9643,False,False,-1,True,0
15,0.7818,0.0704,0.2969,0.3646,1,1.5047,0.1241,0.2209,0.699,0.0,1.0,1.0,0.9643,False,False,-1,True,2
16,1.0437,0.1209,0.5627,0.6397,2,1.4492,0.1043,0.1955,0.7461,0.0,1.0,0.9286,0.9643,False,False,-1,True,6
17,0.6511,0.2102,0.6676,0.5577,2,1.6334,0.1548,0.1851,0.6994,0.0,1.0,1.0,1.0,False,False,-1,True,0
18,1.2621,0.2302,0.8993,0.4765,3,1.8918,0.2624,0.1622,0.7322,0.0,1.0,0.9286,0.9643,False,False,-1,True,6
19,1.1053,0.1082,1.0,0.4939,3,1.2996,0.0662,0.1525,0.6881,0.0,1.0,1.0,0.9286,False,False,-1,True,0
20,1.2065,0.1645,0.5829,0.4018,2,1.7856,0.2092,0.1929,0.7041,0.0,1.0,1.0,1.0,False,False,-1,True,3
21,0.8836,0.0849,0.3021,0.5669,1,1.7535,0.213,0.2206,0.7288,0.0,1.0,1.0,0.9643,False,False,-1,True,1
22,1.3766,0.1637,0.0736,0.4318,0,1.2895,0.0855,0.4469,0.5781,0.0,0.9189,0.7857,0.8929,False,False,-1,True,2
23,1.3145,0.2626,0.5535,0.3162,2,1.2794,0.059,0.1955,0.6602,0.0,1.0,1.0,0.9643,False,False,-1,True,3
24,1.2227,0.1328,0.3374,0.3083,1,1.6905,0.1752,0.2168,0.6493,0.0,1.0,0.7857,1.0,False,False,-1,True,6
25,0.7557,0.1146,0.4169,0.5259,1,1.3885,0.098,0.2094,0.6371,0.0,1.0,0.8571,0.9286,False,False,-1,True,3
26,0.9734,0.2224,0.3776,0.7369,1,1.7911,0.2111,0.2136,0.6634,0.0,1.0,1.0,1.0,False,False,-1,True,0
27,0.635,0.1108,0.4718,0.524,1,1.6424,0.158,0.2041,0.7911,0.0,1.0,0.9286,1.0,False,False,-1,True,5
28,0.7234,0.1402,0.7132,0.4822,2,1.985,0.2957,0.1804,0.6208,0.0,1.0,0.7143,0.9643,False,False,-1,False,1
29,1.1464,0.1182,0.5314,0.5429,2,1.7276,0.1884,0.1983,0.7531,0.0,1.0,1.0,1.0,False,False,-1,True,1
