student_id,learning_capacity,late_work_prob,ses_score,grit,ses_quartile,gpa_proxy,final_knowledge,final_stress,final_motivation,final_fatigue,final_satisfaction,attendance_rate,completion_rate,is_intervention_target,dropped_out,dropout_week,at_risk,study_group_id
0,1.2192,0.1632,0.2953,0.4762,1,1.9109,0.2539,0.4392,0.8114,0.0,1.0,1.0,1.0,False,False,-1,True,4
1,0.9511,0.2164,0.5359,0.3447,2,1.479,0.1405,0.3056,0.6539,0.0,1.0,0.9286,0.9048,False,False,-1,True,3
2,1.2869,0.2421,0.544,0.2488,2,1.5014,0.1331,0.3473,0.6463,0.0,1.0,0.9286,0.9524,False,False,-1,True,4
3,1.1579,0.0765,0.7718,0.4271,3,1.5777,0.1655,0.1901,0.6245,0.0,1.0,1.0,0.9286,False,False,-1,True,4
4,0.6753,0.2491,0.667,0.4919,2,1.2426,0.0356,0.2898,0.7277,0.0,0.9794,0.7857,0.9524,False,False,-1,True,1
5,1.3805,0.1392,0.5714,0.7652,2,1.3439,0.0514,0.2976,0.7647,0.0,1.0,0.9286,1.0,False,False,-1,True,2
6,1.2089,0.2377,0.7927,0.5195,3,1.3769,0.0734,0.1884,0.675,0.0,1.0,0.9286,0.9762,False,False,-1,True,4
7,1.2289,0.0963,0.2622,0.6474,1,1.2948,0.0747,0.5663,0.6226,0.0,0.9426,0.9286,0.9048,False,False,-1,True,5
8,0.7025,0.1263,0.372,0.4251,1,1.5227,0.1561,0.5883,0.6237,0.0,0.9236,0.9286,0.9048,False,False,-1,True,2
9,0.9603,0.1402,0.3147,0.3223,1,1.3816,0.1057,0.593,0.7302,0.0,0.9506,0.9286,0.9048,False,False,-1,True,1
10,0.8966,0.2344,0.422,0.3552,1,1.4981,0.1371,0.3298,0.7368,0.0,1.0,1.0,0.9286,False,False,-1,True,5
11,1.3414,0.1886,0.2247,0.3912,0,1.9726,0.3065,0.5765,0.7224,0.0,1.0,1.0,0.9286,False,False,-1,False,0
12,1.1151,0.1471,0.627,0.8193,2,1.4991,0.1323,0.2489,0.6352,0.0,1.0,0.7143,0.9524,False,False,-1,True,6
13,1.2582,0.0769,0.4556,0.3768,1,1.5916,0.2215,0.5057,0.7,0.0,0.935,0.8571,0.8095,False,False,-1,True,5
14,0.9547,0.13,0.2058,0.6258,0,1.2514,0.0898,0.8316,0.6916,0.0,0.7784,0.6429,0.8333,False,False,-1,True,0
15,0.7818,0.0704,0.2969,0.3646,1,1.3367,0.1151,0.634,0.699,0.0,0.94,1.0,0.8571,False,False,-1,True,2
16,1.0437,0.1209,0.5627,0.6397,2,1.4868,0.1024,0.2398,0.7461,0.0,1.0,0.9286,1.0,False,False,-1,True,6
17,0.6511,0.2102,0.6676,0.5577,2,1.6044,0.1495,0.2007,0.6994,0.0,1.0,1.0,1.0,False,False,-1,True,0
18,1.2621,0.2302,0.8993,0.4765,3,1.9385,0.2637,0.1778,0.7322,0.0,1.0,1.0,1.0,False,False,-1,True,6
19,1.1053,0.1082,1.0,0.4939,3,1.3442,0.0617,0.1681,0.6881,0.0,1.0,1.0,0.9762,False,False,-1,True,0
20,1.2065,0.1645,0.5829,0.4018,2,1.7015,0.1995,0.2621,0.7041,0.0,1.0,1.0,0.9524,False,False,-1,True,3
21,0.8836,0.0849,0.3021,0.5669,1,1.7012,0.1994,0.5269,0.7288,0.0,0.9872,0.9286,0.9524,False,False,-1,True,1
22,1.3766,0.1637,0.0736,0.4318,0,1.159,0.0721,1.0,0.5781,0.0,0.6696,0.5714,0.8095,False,False,-1,True,2
23,1.3145,0.2626,0.5535,0.3162,2,1.2882,0.0519,0.2412,0.6602,0.0,1.0,1.0,0.9524,False,False,-1,True,3
24,1.2227,0.1328,0.3374,0.3083,1,1.5801,0.1715,0.5809,0.6493,0.0,0.9365,0.7857,0.9286,False,False,-1,True,6
25,0.7557,0.1146,0.4169,0.5259,1,1.2528,0.0903,0.6602,0.6371,0.0,0.8444,0.6429,0.8333,False,False,-1,True,3
26,0.9734,0.2224,0.3776,0.7369,1,1.6932,0.2016,0.3948,0.6634,0.0,1.0,1.0,0.9524,False,False,-1,True,0
27,0.635,0.1108,0.4718,0.524,1,1.6035,0.1543,0.3919,0.7911,0.0,1.0,0.9286,0.9762,False,False,-1,True,5
28,0.7234,0.1402,0.7132,0.4822,2,1.9645,0.2935,0.196,0.6208,0.0,1.0,0.8571,0.9524,False,False,-1,False,1
29,1.1464,0.1182,0.5314,0.5429,2,1.6242,0.1668,0.4209,0.7531,0.0,0.9508,0.7857,0.9762,False,False,-1,True,1
