week,mean_stress,std_stress,mean_knowledge,std_knowledge,mean_motivation,mean_fatigue,mean_satisfaction,attendance_rate,assignments_submitted,assignments_late,assignments_missed,dropout_count,at_risk_count,is_exam_week
1,0.27287825858556947,0.06006599827953967,0.172522019397732,0.08169470441586721,0.65543541909718,0.0,0.6943058905142158,0.9333333333333333,59,1,0,0,0,False
2,0.20107698287263517,0.06684550988441453,0.17242725139341628,0.07998235668488514,0.6902481187838377,0.0,0.7204986257204821,0.8666666666666667,54,1,5,0,0,False
3,0.12951753796117402,0.07145159598839836,0.16936787703395068,0.07862841154291805,0.7155747952364984,0.0,0.7511403388210667,0.9333333333333333,60,0,0,0,0,False
4,0.07350067121709544,0.06892613235844924,0.1664019787052183,0.07715003298772193,0.7254561144934111,0.0,0.7827882064506504,0.8666666666666667,58,0,2,0,0,False
5,0.032227862783338265,0.056330529432316874,0.16396582151394776,0.07598603610356344,0.7136838633496101,0.0,0.8186359305728128,1.0,57,0,3,0,28,False
6,0.01973977177505859,0.04948544238548104,0.16053411147461558,0.07517235971968048,0.6801256720418999,0.0,0.8519809297555627,0.8666666666666667,60,0,0,0,28,False
7,0.193878566401333,0.07680109011603423,0.1712828222032017,0.07722319079657097,0.6623386753439857,0.0,0.8768491738529494,0.8666666666666667,60,0,0,0,28,True
8,0.11453550606010458,0.09003367935447533,0.1673932128855603,0.07568663248548362,0.6466376715355254,0.0,0.9074753820027309,0.9666666666666667,55,0,5,0,28,False
9,0.06433679031676105,0.0795726029285933,0.16335963952295035,0.07399099775313144,0.6462897347882115,0.0,0.9390981410712758,0.9,59,1,0,0,28,False
10,0.03321255049569406,0.06698846122666507,0.15923870498935377,0.07218386380140493,0.6664401081712079,0.0,0.9704334150676951,0.9333333333333333,56,1,3,0,28,False
11,0.015205645120096872,0.05564671039118833,0.15534155278204062,0.07034178154853096,0.6767362280823349,0.0,0.9867277861215409,0.9666666666666667,60,0,0,0,28,False
12,0.008971026424588755,0.04831045578556904,0.15155114141260434,0.06885767277214899,0.7032407592497453,0.0,0.9945036618979131,0.9666666666666667,59,0,1,0,28,False
13,0.00775462639743502,0.04175994116794329,0.14757947020352485,0.06713839778400119,0.735581417081743,0.0,0.996700598737956,0.9666666666666667,59,0,1,0,28,False
14,0.2093633257808202,0.04871525467949674,0.15736750456552268,0.06916376420297912,0.7688395736947183,0.0,0.997297385497711,0.9666666666666667,58,0,2,0,28,True
