student_id,learning_capacity,late_work_prob,ses_score,grit,ses_quartile,gpa_proxy,final_knowledge,final_stress,final_motivation,final_fatigue,final_satisfaction,attendance_rate,completion_rate,is_intervention_target,dropped_out,dropout_week,at_risk,study_group_id
0,1.2192,0.1632,0.2953,0.4762,1,1.7165,0.2304,0.4964,0.7646,0.0,0.8664,1.0,0.8929,False,False,-1,True,4
1,0.9511,0.2164,0.5359,0.3447,2,1.2888,0.1235,0.426,0.5808,0.0,0.7736,0.8571,0.7857,False,False,-1,True,3
2,1.2869,0.2421,0.544,0.2488,2,1.3869,0.1203,0.4428,0.5731,0.0,0.7889,0.9286,0.8929,False,False,-1,True,4
3,1.1579,0.0765,0.7718,0.4271,3,1.5677,0.1466,0.1745,0.5514,0.0,0.8486,0.9286,0.9643,False,False,-1,True,4
4,0.6753,0.2491,0.667,0.4919,2,1.027,0.0301,0.5205,0.6545,0.0,0.6399,0.5,0.8214,False,False,-1,True,1
5,1.3805,0.1392,0.5714,0.7652,2,1.0941,0.0387,0.2825,0.6915,0.0,0.8622,1.0,0.8214,False,False,-1,True,2
6,1.2089,0.2377,0.7927,0.5195,3,1.3597,0.0571,0.1728,0.6019,0.0,0.9062,0.9286,1.0,False,False,-1,True,4
7,1.2289,0.0963,0.2622,0.6474,1,0.9199,0.0607,0.8509,0.5495,0.0,0.5468,0.5,0.6429,False,False,-1,True,5
8,0.7025,0.1263,0.372,0.4251,1,1.2277,0.1477,0.7364,0.5506,0.0,0.6308,0.7857,0.6786,False,False,-1,True,2
9,0.9603,0.1402,0.3147,0.3223,1,1.2212,0.0994,0.7224,0.657,0.0,0.7051,0.8571,0.7857,False,False,-1,True,1
10,0.8966,0.2344,0.422,0.3552,1,1.4747,0.121,0.4484,0.6637,0.0,0.8336,0.9286,0.9643,False,False,-1,True,5
11,1.3414,0.1886,0.2247,0.3912,0,1.7928,0.2806,0.6887,0.6493,0.0,0.7499,0.9286,0.8571,False,False,-1,False,0
12,1.1151,0.1471,0.627,0.8193,2,1.4399,0.1316,0.1915,0.5621,0.0,0.8647,0.8571,0.8929,False,False,-1,True,6
13,1.2582,0.0769,0.4556,0.3768,1,1.5497,0.2014,0.6252,0.6268,0.0,0.687,0.7857,0.8214,False,False,-1,True,5
14,0.9547,0.13,0.2058,0.6258,0,1.1294,0.0896,0.7674,0.6185,0.0,0.6816,0.8571,0.75,False,False,-1,True,0
15,0.7818,0.0704,0.2969,0.3646,1,1.1893,0.1033,0.8432,0.6259,0.0,0.6255,0.7857,0.75,False,False,-1,True,2
16,1.0437,0.1209,0.5627,0.6397,2,1.2594,0.0824,0.2735,0.6729,0.0,0.8568,0.9286,0.8571,False,False,-1,True,6
17,0.6511,0.2102,0.6676,0.5577,2,1.4949,0.1359,0.2151,0.6262,0.0,0.8595,0.9286,0.9286,False,False,-1,True,0
18,1.2621,0.2302,0.8993,0.4765,3,1.7402,0.2389,0.1622,0.6591,0.0,0.9151,0.9286,0.8929,False,False,-1,True,6
19,1.1053,0.1082,1.0,0.4939,3,1.121,0.0483,0.1525,0.615,0.0,0.986,1.0,0.8214,False,False,-1,True,0
20,1.2065,0.1645,0.5829,0.4018,2,1.562,0.1752,0.4207,0.6309,0.0,0.7819,0.8571,0.8929,False,False,-1,True,3
21,0.8836,0.0849,0.3021,0.5669,1,1.5158,0.1893,0.6206,0.6556,0.0,0.7469,0.8571,0.8214,False,False,-1,True,1
22,1.3766,0.1637,0.0736,0.4318,0,1.1144,0.0689,1.0,0.505,0.0,0.524,0.6429,0.7857,False,False,-1,True,2
23,1.3145,0.2626,0.5535,0.3162,2,1.104,0.0346,0.3204,0.587,0.0,0.8525,1.0,0.8571,False,False,-1,True,3
24,1.2227,0.1328,0.3374,0.3083,1,1.3652,0.1508,0.6994,0.5761,0.0,0.6572,0.7143,0.8214,False,False,-1,True,6
25,0.7557,0.1146,0.4169,0.5259,1,1.1668,0.08,0.7482,0.564,0.0,0.5863,0.5714,0.7857,False,False,-1,True,3
26,0.9734,0.2224,0.3776,0.7369,1,1.4765,0.1829,0.5427,0.5902,0.0,0.7365,0.7857,0.8214,False,False,-1,True,0
27,0.635,0.1108,0.4718,0.524,1,1.3893,0.1365,0.5189,0.7179,0.0,0.7436,0.7857,0.8571,False,False,-1,True,5
28,0.7234,0.1402,0.7132,0.4822,2,1.7401,0.2847,0.3303,0.5476,0.0,0.749,0.7143,0.7857,False,False,-1,False,1
29,1.1464,0.1182,0.5314,0.5429,2,1.539,0.1593,0.4407,0.6799,0.0,0.7825,0.8571,0.9286,False,False,-1,True,1
